CCAA,GASTO_CONCIERTOS,AÑO,GASTO_PERC_PIB,GASTO_TOTAL,GASTO_HABITANTE,PUBLICA_HOSP,PRIVADA_HOSP,CONCIERTO_HOSP,OTRA_HOSP,PUBLICA_BEDS,PRIVADA_BEDS,CONCIERTO_BEDS,OTRA_BEDS
CASTILLA-LA MANCHA,133402.0,2013,6.9,2505812.0,1203.0,19.0,6.0,4.0,,5160.0,296.0,350.0,
CATALUÑA,2386399.0,2013,4.8,9265086.0,1245.0,29.0,115.0,67.0,,4081.0,13087.0,17269.0,
EXTREMADURA,71392.0,2013,9.0,1542614.0,1405.0,10.0,2.0,7.0,,3764.0,56.0,456.0,
GALICIA,204993.0,2013,6.6,3558716.0,1293.0,14.0,5.0,19.0,,7581.0,215.0,2149.0,
LA RIOJA,36418.0,2013,5.5,414895.0,1310.0,2.0,,4.0,,717.0,,243.0,
MELILLA,,2013,,,,1.0,,,,170.0,,,
MELILLA,,2013,,89528.0,,1.0,,,,170.0,,,
MADRID,788282.0,2013,3.8,7402709.0,1158.0,33.0,13.0,36.0,,14272.0,1440.0,6424.0,
MURCIA,135811.0,2013,7.9,2086493.0,1428.0,10.0,4.0,12.0,,3128.0,205.0,1356.0,
NAVARRA,64336.0,2013,5.2,892198.0,1401.0,4.0,2.0,5.0,,1435.0,34.0,953.0,
PAÍS VASCO,239470.0,2013,5.5,3394440.0,1564.0,18.0,8.0,18.0,,5782.0,516.0,1992.0,
VALENCIA,352459.0,2013,6.0,5684842.0,1145.0,35.0,11.0,16.0,,11499.0,798.0,1729.0,
ANDALUCÍA,460375.0,2012,6.7,9222669.0,1100.0,46.0,40.0,19.0,,16351.0,3404.0,2476.0,
ARAGÓN,85508.0,2012,6.4,2043354.0,1524.0,17.0,2.0,10.0,,4152.0,330.0,963.0,
ASTURIAS,118525.0,2012,7.7,1655199.0,1546.0,8.0,5.0,7.0,,3022.0,165.0,959.0,
BALEARES,116669.0,2012,5.0,1293164.0,1171.0,4.0,4.0,14.0,,1179.0,353.0,2137.0,
CEUTA,,2012,,,,1.0,,,,252.0,,,
CEUTA,,2012,,100018.0,,1.0,,,,252.0,,,
CANARIAS,253331.0,2012,6.4,2519267.0,1204.0,9.0,8.0,20.0,,3504.0,536.0,3557.0,
CANTABRIA,31266.0,2012,8.6,1046218.0,1770.0,3.0,1.0,4.0,,1061.0,30.0,951.0,
CASTILLA Y LEÓN,162122.0,2012,6.5,3455191.0,1367.0,11.0,3.0,23.0,,5713.0,525.0,3445.0,
CASTILLA-LA MANCHA,166861.0,2012,7.1,2612747.0,1245.0,20.0,4.0,8.0,,5138.0,103.0,542.0,
CATALUÑA,2386326.0,2012,4.9,9482956.0,1265.0,29.0,115.0,67.0,,4089.0,13175.0,17315.0,
EXTREMADURA,74356.0,2012,9.1,1555519.0,1412.0,10.0,2.0,6.0,,3708.0,56.0,349.0,
GALICIA,206345.0,2012,6.5,3530254.0,1276.0,14.0,5.0,20.0,,7765.0,215.0,2238.0,
LA RIOJA,33845.0,2012,5.5,418980.0,1309.0,2.0,,3.0,,717.0,,211.0,
MELILLA,,2012,,,,1.0,,,,170.0,,,
MELILLA,,2012,,86973.0,,1.0,,,,170.0,,,
MADRID,834130.0,2012,3.9,7665513.0,1193.0,32.0,14.0,35.0,,14174.0,1626.0,6337.0,
